,key,number,name,Event_1_Week,Event_1_Key,Event_1_fused,Event_2_Week,Event_2_Key,Event_2_fused,EPA,Win_Rate,EPA_Rank,EPA_Percentile
272,frc5756,5756,REC'in Crew,4.0,midet,4midet,2.0,midtr,2midtr,10.86,0.5172,330,0.3542
273,frc5843,5843,Flurb,3.0,misal,3misal,1.0,misjo,1misjo,24.99,0.5,96,0.8121
274,frc5860,5860,Full Metal Muskrats,0.0,mifer,0mifer,4.0,mimcc,4mimcc,15.47,0.4194,239,0.5323
275,frc5878,5878,The Great Lakers,2.0,midtr,2midtr,1.0,mike2,1mike2,10.71,0.4828,332,0.3503
276,frc5901,5901,Electric Eels,4.0,midet,4midet,2.0,midtr,2midtr,16.44,0.4545,223,0.5636
277,frc5907,5907,CC Shambots,1.0,mike2,1mike2,4.0,miliv,4miliv,35.05,0.75,29,0.9432
278,frc5926,5926,Da MOOse,4.0,mimcc,4mimcc,1.0,mimtp,1mimtp,16.75,0.45,218,0.5734
279,frc5927,5927,Globetrotters,1.0,misjo,1misjo,3.0,miwmi,3miwmi,23.63,0.5167,122,0.7613
280,frc5980,5980,East Grand Rapids Robotics,0.0,mibat,0mibat,3.0,milsu,3milsu,11.44,0.3333,318,0.3777
281,frc5982,5982,Circuits of Destruction,4.0,mimid,4mimid,1.0,mimtp,1mimtp,16.55,0.5455,220,0.5695
282,frc6002,6002,ZooBOTix,0.0,mibat,0mibat,3.0,miwmi,3miwmi,34.62,0.5625,33,0.9354
283,frc6005,6005,Cardinaltronics,4.0,mibig,4mibig,0.0,milac,0milac,12.03,0.4839,301,0.411
284,frc6029,6029,Railbots,3.0,mibro,3mibro,2.0,midtr,2midtr,9.45,0.3966,374,0.2681
285,frc6033,6033,Gadget Agents,4.0,mimid,4mimid,1.0,mimtp,1mimtp,7.96,0.3542,416,0.1859
286,frc6057,6057,Thunderbots,2.0,mibel,2mibel,3.0,mibro,3mibro,9.78,0.5417,362,0.2916
287,frc6067,6067,Underdogs,0.0,miket,0miket,4.0,mimid,4mimid,18.96,0.5152,175,0.6575
